epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81121,3.64473,7.447,0.66559,6.56054,3.15748,0.31692,0.3,0.19902,0.05789,0.00929,0.03333,0.00062,6e-05,2.58667,7.0492,0.66053,2.64349,2.58066,0.00028,0.00028,0.00028
2,10.3466,2.57317,5.15951,0.55891,2.30558,2.05399,0.17044,0.43333,0.12043,0.03679,0.27188,0.31138,0.24149,0.07627,2.55962,6.01507,0.58548,2.522,2.42705,0.000576172,0.000576172,0.000576172
3,14.8778,2.44161,3.9236,0.54442,2.22191,1.88648,0.2113,0.13333,0.21143,0.06639,0.40806,0.2,0.26766,0.1139,2.75389,4.97905,0.44239,2.73812,2.68427,0.000868384,0.000868384,0.000868384
4,19.3326,2.4982,3.7079,0.49103,2.19532,1.90996,0.07033,0.06667,0.02357,0.0083,0.02997,0.13333,0.02243,0.00688,2.66606,6.00152,0.258,3.79463,3.0873,0.00115664,0.00115664,0.00115664
5,23.632,2.35332,3.19965,0.47235,2.07892,1.88668,0.14649,0.36667,0.12962,0.03915,0.2901,0.59937,0.26158,0.09999,2.95498,3.78088,0.2701,4.03823,3.39799,0.00144093,0.00144093,0.00144093
6,27.8759,2.41302,3.38181,0.45589,2.27691,1.88135,0.03038,0.43333,0.01979,0.00792,0.0171,0.66667,0.01418,0.00452,3.00612,7.63563,0.12691,75.9589,4.85924,0.00172126,0.00172126,0.00172126
7,32.1825,2.39207,3.17152,0.45751,2.30246,1.92028,0.09375,0.3,0.06558,0.02265,0.03001,0.43333,0.03176,0.01339,2.67476,5.37297,0.13245,56.3601,3.34687,0.0019208,0.0019208,0.0019208
8,36.438,2.4369,2.99887,0.45234,2.27487,1.85002,0.01905,0.06667,0.0091,0.00234,0.04762,0.16667,0.06484,0.0465,2.90458,3.68409,0.13332,83.4201,2.94915,0.0019076,0.0019076,0.0019076
9,40.7023,2.42548,2.7563,0.43564,2.23545,1.904,0.00321,0.13333,0.00264,0.00087,0.00483,0.43333,0.00436,0.00153,3.13247,4.7993,0.19001,63.2434,2.87409,0.0018944,0.0018944,0.0018944
10,44.9652,2.30315,2.64179,0.39814,2.15516,1.80767,0.00322,0.13333,0.00294,0.00122,0.00601,0.26667,0.00504,0.00245,2.50054,3.21202,0.14769,80.3522,2.36678,0.0018812,0.0018812,0.0018812
11,49.3465,2.38799,2.62436,0.4299,2.24642,1.88381,0.00889,0.16667,0.00445,0.00152,0.01159,0.56667,0.00867,0.0041,2.7983,2.90249,0.17901,42.7552,2.71398,0.001868,0.001868,0.001868
12,53.6884,2.41654,2.57582,0.46924,2.24454,1.876,0.26442,0.36667,0.21059,0.07818,0.44931,0.36667,0.30449,0.18146,2.40005,3.24785,0.24549,3.11228,2.08736,0.0018548,0.0018548,0.0018548
13,58.0097,2.35888,2.64313,0.43797,2.25929,1.84456,0.14097,0.2,0.08794,0.03087,0.27909,0.36667,0.22352,0.10433,3.00282,3.86217,0.28116,2.90797,2.72818,0.0018416,0.0018416,0.0018416
